model,precision,phase,tokens,operator,arithmetic,calls,flops
TinyStories-Instruct-3M,int4,prefill,1,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,1,GELU,fp32,8,36864
TinyStories-Instruct-3M,int4,prefill,1,LayerNorm,fp32,17,13124
TinyStories-Instruct-3M,int4,prefill,1,GroupedQueryAttention,fp32,8,4224
TinyStories-Instruct-3M,int4,prefill,1,Softmax,fp32,8,640
TinyStories-Instruct-3M,int4,prefill,1,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,prefill,2,Linear (lm_head),fp32,1,25731584
TinyStories-Instruct-3M,fp32,prefill,2,Linear,fp32,48,6303744
TinyStories-Instruct-3M,fp32,prefill,2,GELU,fp32,8,73728
TinyStories-Instruct-3M,fp32,prefill,2,LayerNorm,fp32,17,26248
TinyStories-Instruct-3M,fp32,prefill,2,GroupedQueryAttention,fp32,8,16896
TinyStories-Instruct-3M,fp32,prefill,2,Softmax,fp32,8,2560
TinyStories-Instruct-3M,fp32,prefill,2,Embedding,fp32,2,0
TinyStories-Instruct-3M,bf16,prefill,2,Linear (lm_head),bf16,1,25731584
TinyStories-Instruct-3M,bf16,prefill,2,Linear,bf16,48,6303744
TinyStories-Instruct-3M,bf16,prefill,2,GELU,bf16,8,73728
TinyStories-Instruct-3M,bf16,prefill,2,LayerNorm,bf16,17,26248
TinyStories-Instruct-3M,bf16,prefill,2,GroupedQueryAttention,bf16,8,16896
TinyStories-Instruct-3M,bf16,prefill,2,Softmax,bf16,8,2560
TinyStories-Instruct-3M,bf16,prefill,2,Embedding,bf16,2,0
TinyStories-Instruct-3M,int8,prefill,2,Linear (lm_head),fp32,1,25731584
TinyStories-Instruct-3M,int8,prefill,2,Linear,int8,48,6303744
TinyStories-Instruct-3M,int8,prefill,2,Quantize,fp32,48,73728
TinyStories-Instruct-3M,int8,prefill,2,GELU,fp32,8,73728
TinyStories-Instruct-3M,int8,prefill,2,Dequantize,fp32,48,36864
TinyStories-Instruct-3M,int8,prefill,2,LayerNorm,fp32,17,26248
TinyStories-Instruct-3M,int8,prefill,2,GroupedQueryAttention,fp32,8,16896
TinyStories-Instruct-3M,int8,prefill,2,Softmax,fp32,8,2560
TinyStories-Instruct-3M,int8,prefill,2,Embedding,fp32,2,0
TinyStories-Instruct-3M,int4,prefill,2,Linear (lm_head),fp32,1,25731584
TinyStories-Instruct-3M,int4,prefill,2,Linear,fp32,48,6303744
TinyStories-Instruct-3M,int4,prefill,2,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,2,GELU,fp32,8,73728
TinyStories-Instruct-3M,int4,prefill,2,LayerNorm,fp32,17,26248
TinyStories-Instruct-3M,int4,prefill,2,GroupedQueryAttention,fp32,8,16896
TinyStories-Instruct-3M,int4,prefill,2,Softmax,fp32,8,2560
TinyStories-Instruct-3M,int4,prefill,2,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,prefill,4,Linear (lm_head),fp32,1,51463168
TinyStories-Instruct-3M,fp32,prefill,4,Linear,fp32,48,12607488
TinyStories-Instruct-3M,fp32,prefill,4,GELU,fp32,8,147456
TinyStories-Instruct-3M,fp32,prefill,4,GroupedQueryAttention,fp32,8,67584
TinyStories-Instruct-3M,fp32,prefill,4,LayerNorm,fp32,17,52496
TinyStories-Instruct-3M,fp32,prefill,4,Softmax,fp32,8,10240
TinyStories-Instruct-3M,fp32,prefill,4,Embedding,fp32,2,0
TinyStories-Instruct-3M,bf16,prefill,4,Linear (lm_head),bf16,1,51463168
TinyStories-Instruct-3M,bf16,prefill,4,Linear,bf16,48,12607488
TinyStories-Instruct-3M,bf16,prefill,4,GELU,bf16,8,147456
TinyStories-Instruct-3M,bf16,prefill,4,GroupedQueryAttention,bf16,8,67584
TinyStories-Instruct-3M,bf16,prefill,4,LayerNorm,bf16,17,52496
TinyStories-Instruct-3M,bf16,prefill,4,Softmax,bf16,8,10240
TinyStories-Instruct-3M,bf16,prefill,4,Embedding,bf16,2,0
TinyStories-Instruct-3M,int8,prefill,4,Linear (lm_head),fp32,1,51463168
TinyStories-Instruct-3M,int8,prefill,4,Linear,int8,48,12607488
TinyStories-Instruct-3M,int8,prefill,4,Quantize,fp32,48,147456
TinyStories-Instruct-3M,int8,prefill,4,GELU,fp32,8,147456
TinyStories-Instruct-3M,int8,prefill,4,Dequantize,fp32,48,73728
TinyStories-Instruct-3M,int8,prefill,4,GroupedQueryAttention,fp32,8,67584
TinyStories-Instruct-3M,int8,prefill,4,LayerNorm,fp32,17,52496
TinyStories-Instruct-3M,int8,prefill,4,Softmax,fp32,8,10240
TinyStories-Instruct-3M,int8,prefill,4,Embedding,fp32,2,0
TinyStories-Instruct-3M,int4,prefill,4,Linear (lm_head),fp32,1,51463168
TinyStories-Instruct-3M,int4,prefill,4,Linear,fp32,48,12607488
TinyStories-Instruct-3M,int4,prefill,4,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,4,GELU,fp32,8,147456
TinyStories-Instruct-3M,int4,prefill,4,GroupedQueryAttention,fp32,8,67584
TinyStories-Instruct-3M,int4,prefill,4,LayerNorm,fp32,17,52496
TinyStories-Instruct-3M,int4,prefill,4,Softmax,fp32,8,10240
TinyStories-Instruct-3M,int4,prefill,4,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,prefill,8,Linear (lm_head),fp32,1,102926336
TinyStories-Instruct-3M,fp32,prefill,8,Linear,fp32,48,25214976
TinyStories-Instruct-3M,fp32,prefill,8,GELU,fp32,8,294912
TinyStories-Instruct-3M,fp32,prefill,8,GroupedQueryAttention,fp32,8,270336
TinyStories-Instruct-3M,fp32,prefill,8,LayerNorm,fp32,17,104992
TinyStories-Instruct-3M,fp32,prefill,8,Softmax,fp32,8,40960
TinyStories-Instruct-3M,fp32,prefill,8,Embedding,fp32,2,0
TinyStories-Instruct-3M,bf16,prefill,8,Linear (lm_head),bf16,1,102926336
TinyStories-Instruct-3M,bf16,prefill,8,Linear,bf16,48,25214976
TinyStories-Instruct-3M,bf16,prefill,8,GELU,bf16,8,294912
TinyStories-Instruct-3M,bf16,prefill,8,GroupedQueryAttention,bf16,8,270336
TinyStories-Instruct-3M,bf16,prefill,8,LayerNorm,bf16,17,104992
TinyStories-Instruct-3M,bf16,prefill,8,Softmax,bf16,8,40960
TinyStories-Instruct-3M,bf16,prefill,8,Embedding,bf16,2,0
TinyStories-Instruct-3M,int8,prefill,8,Linear (lm_head),fp32,1,102926336
TinyStories-Instruct-3M,int8,prefill,8,Linear,int8,48,25214976
TinyStories-Instruct-3M,int8,prefill,8,Quantize,fp32,48,294912
TinyStories-Instruct-3M,int8,prefill,8,GELU,fp32,8,294912
TinyStories-Instruct-3M,int8,prefill,8,GroupedQueryAttention,fp32,8,270336
TinyStories-Instruct-3M,int8,prefill,8,Dequantize,fp32,48,147456
TinyStories-Instruct-3M,int8,prefill,8,LayerNorm,fp32,17,104992
TinyStories-Instruct-3M,int8,prefill,8,Softmax,fp32,8,40960
TinyStories-Instruct-3M,int8,prefill,8,Embedding,fp32,2,0
TinyStories-Instruct-3M,int4,prefill,8,Linear (lm_head),fp32,1,102926336
TinyStories-Instruct-3M,int4,prefill,8,Linear,fp32,48,25214976
TinyStories-Instruct-3M,int4,prefill,8,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,8,GELU,fp32,8,294912
TinyStories-Instruct-3M,int4,prefill,8,GroupedQueryAttention,fp32,8,270336
TinyStories-Instruct-3M,int4,prefill,8,LayerNorm,fp32,17,104992
TinyStories-Instruct-3M,int4,prefill,8,Softmax,fp32,8,40960
TinyStories-Instruct-3M,int4,prefill,8,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,prefill,16,Linear (lm_head),fp32,1,205852672
TinyStories-Instruct-3M,fp32,prefill,16,Linear,fp32,48,50429952
TinyStories-Instruct-3M,fp32,prefill,16,GroupedQueryAttention,fp32,8,1081344
TinyStories-Instruct-3M,fp32,prefill,16,GELU,fp32,8,589824
TinyStories-Instruct-3M,fp32,prefill,16,LayerNorm,fp32,17,209984
TinyStories-Instruct-3M,fp32,prefill,16,Softmax,fp32,8,163840
TinyStories-Instruct-3M,fp32,prefill,16,Embedding,fp32,2,0
TinyStories-Instruct-3M,bf16,prefill,16,Linear (lm_head),bf16,1,205852672
TinyStories-Instruct-3M,bf16,prefill,16,Linear,bf16,48,50429952
TinyStories-Instruct-3M,bf16,prefill,16,GroupedQueryAttention,bf16,8,1081344
TinyStories-Instruct-3M,bf16,prefill,16,GELU,bf16,8,589824
TinyStories-Instruct-3M,bf16,prefill,16,LayerNorm,bf16,17,209984
TinyStories-Instruct-3M,bf16,prefill,16,Softmax,bf16,8,163840
TinyStories-Instruct-3M,bf16,prefill,16,Embedding,bf16,2,0
TinyStories-Instruct-3M,int8,prefill,16,Linear (lm_head),fp32,1,205852672
TinyStories-Instruct-3M,int8,prefill,16,Linear,int8,48,50429952
TinyStories-Instruct-3M,int8,prefill,16,GroupedQueryAttention,fp32,8,1081344
TinyStories-Instruct-3M,int8,prefill,16,Quantize,fp32,48,589824
TinyStories-Instruct-3M,int8,prefill,16,GELU,fp32,8,589824
TinyStories-Instruct-3M,int8,prefill,16,Dequantize,fp32,48,294912
TinyStories-Instruct-3M,int8,prefill,16,LayerNorm,fp32,17,209984
TinyStories-Instruct-3M,int8,prefill,16,Softmax,fp32,8,163840
TinyStories-Instruct-3M,int8,prefill,16,Embedding,fp32,2,0
TinyStories-Instruct-3M,int4,prefill,16,Linear (lm_head),fp32,1,205852672
TinyStories-Instruct-3M,int4,prefill,16,Linear,fp32,48,50429952
TinyStories-Instruct-3M,int4,prefill,16,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,16,GroupedQueryAttention,fp32,8,1081344
TinyStories-Instruct-3M,int4,prefill,16,GELU,fp32,8,589824
TinyStories-Instruct-3M,int4,prefill,16,LayerNorm,fp32,17,209984
TinyStories-Instruct-3M,int4,prefill,16,Softmax,fp32,8,163840
TinyStories-Instruct-3M,int4,prefill,16,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,prefill,32,Linear (lm_head),fp32,1,411705344
TinyStories-Instruct-3M,fp32,prefill,32,Linear,fp32,48,100859904
TinyStories-Instruct-3M,fp32,prefill,32,GroupedQueryAttention,fp32,8,4325376
TinyStories-Instruct-3M,fp32,prefill,32,GELU,fp32,8,1179648
TinyStories-Instruct-3M,fp32,prefill,32,Softmax,fp32,8,655360
TinyStories-Instruct-3M,fp32,prefill,32,LayerNorm,fp32,17,419968
TinyStories-Instruct-3M,fp32,prefill,32,Embedding,fp32,2,0
TinyStories-Instruct-3M,bf16,prefill,32,Linear (lm_head),bf16,1,411705344
TinyStories-Instruct-3M,bf16,prefill,32,Linear,bf16,48,100859904
TinyStories-Instruct-3M,bf16,prefill,32,GroupedQueryAttention,bf16,8,4325376
TinyStories-Instruct-3M,bf16,prefill,32,GELU,bf16,8,1179648
TinyStories-Instruct-3M,bf16,prefill,32,Softmax,bf16,8,655360
TinyStories-Instruct-3M,bf16,prefill,32,LayerNorm,bf16,17,419968
TinyStories-Instruct-3M,bf16,prefill,32,Embedding,bf16,2,0
TinyStories-Instruct-3M,int8,prefill,32,Linear (lm_head),fp32,1,411705344
TinyStories-Instruct-3M,int8,prefill,32,Linear,int8,48,100859904
TinyStories-Instruct-3M,int8,prefill,32,GroupedQueryAttention,fp32,8,4325376
TinyStories-Instruct-3M,int8,prefill,32,Quantize,fp32,48,1179648
TinyStories-Instruct-3M,int8,prefill,32,GELU,fp32,8,1179648
TinyStories-Instruct-3M,int8,prefill,32,Softmax,fp32,8,655360
TinyStories-Instruct-3M,int8,prefill,32,Dequantize,fp32,48,589824
TinyStories-Instruct-3M,int8,prefill,32,LayerNorm,fp32,17,419968
TinyStories-Instruct-3M,int8,prefill,32,Embedding,fp32,2,0
TinyStories-Instruct-3M,int4,prefill,32,Linear (lm_head),fp32,1,411705344
TinyStories-Instruct-3M,int4,prefill,32,Linear,fp32,48,100859904
TinyStories-Instruct-3M,int4,prefill,32,GroupedQueryAttention,fp32,8,4325376
TinyStories-Instruct-3M,int4,prefill,32,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,32,GELU,fp32,8,1179648
TinyStories-Instruct-3M,int4,prefill,32,Softmax,fp32,8,655360
TinyStories-Instruct-3M,int4,prefill,32,LayerNorm,fp32,17,419968
TinyStories-Instruct-3M,int4,prefill,32,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,prefill,64,Linear (lm_head),fp32,1,823410688
TinyStories-Instruct-3M,fp32,prefill,64,Linear,fp32,48,201719808
TinyStories-Instruct-3M,fp32,prefill,64,GroupedQueryAttention,fp32,8,17301504
TinyStories-Instruct-3M,fp32,prefill,64,Softmax,fp32,8,2621440
TinyStories-Instruct-3M,fp32,prefill,64,GELU,fp32,8,2359296
TinyStories-Instruct-3M,fp32,prefill,64,LayerNorm,fp32,17,839936
TinyStories-Instruct-3M,fp32,prefill,64,Embedding,fp32,2,0
TinyStories-Instruct-3M,bf16,prefill,64,Linear (lm_head),bf16,1,823410688
TinyStories-Instruct-3M,bf16,prefill,64,Linear,bf16,48,201719808
TinyStories-Instruct-3M,bf16,prefill,64,GroupedQueryAttention,bf16,8,17301504
TinyStories-Instruct-3M,bf16,prefill,64,Softmax,bf16,8,2621440
TinyStories-Instruct-3M,bf16,prefill,64,GELU,bf16,8,2359296
TinyStories-Instruct-3M,bf16,prefill,64,LayerNorm,bf16,17,839936
TinyStories-Instruct-3M,bf16,prefill,64,Embedding,bf16,2,0
TinyStories-Instruct-3M,int8,prefill,64,Linear (lm_head),fp32,1,823410688
TinyStories-Instruct-3M,int8,prefill,64,Linear,int8,48,201719808
TinyStories-Instruct-3M,int8,prefill,64,GroupedQueryAttention,fp32,8,17301504
TinyStories-Instruct-3M,int8,prefill,64,Softmax,fp32,8,2621440
TinyStories-Instruct-3M,int8,prefill,64,Quantize,fp32,48,2359296
TinyStories-Instruct-3M,int8,prefill,64,GELU,fp32,8,2359296
TinyStories-Instruct-3M,int8,prefill,64,Dequantize,fp32,48,1179648
TinyStories-Instruct-3M,int8,prefill,64,LayerNorm,fp32,17,839936
TinyStories-Instruct-3M,int8,prefill,64,Embedding,fp32,2,0
TinyStories-Instruct-3M,int4,prefill,64,Linear (lm_head),fp32,1,823410688
TinyStories-Instruct-3M,int4,prefill,64,Linear,fp32,48,201719808
TinyStories-Instruct-3M,int4,prefill,64,GroupedQueryAttention,fp32,8,17301504
TinyStories-Instruct-3M,int4,prefill,64,Softmax,fp32,8,2621440
TinyStories-Instruct-3M,int4,prefill,64,GELU,fp32,8,2359296
TinyStories-Instruct-3M,int4,prefill,64,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,64,LayerNorm,fp32,17,839936
TinyStories-Instruct-3M,int4,prefill,64,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,prefill,128,Linear (lm_head),fp32,1,1646821376
TinyStories-Instruct-3M,fp32,prefill,128,Linear,fp32,48,403439616
TinyStories-Instruct-3M,fp32,prefill,128,GroupedQueryAttention,fp32,8,69206016
TinyStories-Instruct-3M,fp32,prefill,128,Softmax,fp32,8,10485760
TinyStories-Instruct-3M,fp32,prefill,128,GELU,fp32,8,4718592
TinyStories-Instruct-3M,fp32,prefill,128,LayerNorm,fp32,17,1679872
TinyStories-Instruct-3M,fp32,prefill,128,Embedding,fp32,2,0
TinyStories-Instruct-3M,bf16,prefill,128,Linear (lm_head),bf16,1,1646821376
TinyStories-Instruct-3M,bf16,prefill,128,Linear,bf16,48,403439616
TinyStories-Instruct-3M,bf16,prefill,128,GroupedQueryAttention,bf16,8,69206016
TinyStories-Instruct-3M,bf16,prefill,128,Softmax,bf16,8,10485760
TinyStories-Instruct-3M,bf16,prefill,128,GELU,bf16,8,4718592
TinyStories-Instruct-3M,bf16,prefill,128,LayerNorm,bf16,17,1679872
TinyStories-Instruct-3M,bf16,prefill,128,Embedding,bf16,2,0
TinyStories-Instruct-3M,int8,prefill,128,Linear (lm_head),fp32,1,1646821376
TinyStories-Instruct-3M,int8,prefill,128,Linear,int8,48,403439616
TinyStories-Instruct-3M,int8,prefill,128,GroupedQueryAttention,fp32,8,69206016
TinyStories-Instruct-3M,int8,prefill,128,Softmax,fp32,8,10485760
TinyStories-Instruct-3M,int8,prefill,128,Quantize,fp32,48,4718592
TinyStories-Instruct-3M,int8,prefill,128,GELU,fp32,8,4718592
TinyStories-Instruct-3M,int8,prefill,128,Dequantize,fp32,48,2359296
TinyStories-Instruct-3M,int8,prefill,128,LayerNorm,fp32,17,1679872
TinyStories-Instruct-3M,int8,prefill,128,Embedding,fp32,2,0
TinyStories-Instruct-3M,int4,prefill,128,Linear (lm_head),fp32,1,1646821376
TinyStories-Instruct-3M,int4,prefill,128,Linear,fp32,48,403439616
TinyStories-Instruct-3M,int4,prefill,128,GroupedQueryAttention,fp32,8,69206016
TinyStories-Instruct-3M,int4,prefill,128,Softmax,fp32,8,10485760
TinyStories-Instruct-3M,int4,prefill,128,GELU,fp32,8,4718592
TinyStories-Instruct-3M,int4,prefill,128,LayerNorm,fp32,17,1679872
TinyStories-Instruct-3M,int4,prefill,128,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,128,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,prefill,256,Linear (lm_head),fp32,1,3293642752
TinyStories-Instruct-3M,fp32,prefill,256,Linear,fp32,48,806879232
TinyStories-Instruct-3M,fp32,prefill,256,GroupedQueryAttention,fp32,8,276824064
TinyStories-Instruct-3M,fp32,prefill,256,Softmax,fp32,8,41943040
TinyStories-Instruct-3M,fp32,prefill,256,GELU,fp32,8,9437184
TinyStories-Instruct-3M,fp32,prefill,256,LayerNorm,fp32,17,3359744
TinyStories-Instruct-3M,fp32,prefill,256,Embedding,fp32,2,0
TinyStories-Instruct-3M,bf16,prefill,256,Linear (lm_head),bf16,1,3293642752
TinyStories-Instruct-3M,bf16,prefill,256,Linear,bf16,48,806879232
TinyStories-Instruct-3M,bf16,prefill,256,GroupedQueryAttention,bf16,8,276824064
TinyStories-Instruct-3M,bf16,prefill,256,Softmax,bf16,8,41943040
TinyStories-Instruct-3M,bf16,prefill,256,GELU,bf16,8,9437184
TinyStories-Instruct-3M,bf16,prefill,256,LayerNorm,bf16,17,3359744
TinyStories-Instruct-3M,bf16,prefill,256,Embedding,bf16,2,0
TinyStories-Instruct-3M,int8,prefill,256,Linear (lm_head),fp32,1,3293642752
TinyStories-Instruct-3M,int8,prefill,256,Linear,int8,48,806879232
TinyStories-Instruct-3M,int8,prefill,256,GroupedQueryAttention,fp32,8,276824064
TinyStories-Instruct-3M,int8,prefill,256,Softmax,fp32,8,41943040
TinyStories-Instruct-3M,int8,prefill,256,Quantize,fp32,48,9437184
TinyStories-Instruct-3M,int8,prefill,256,GELU,fp32,8,9437184
TinyStories-Instruct-3M,int8,prefill,256,Dequantize,fp32,48,4718592
TinyStories-Instruct-3M,int8,prefill,256,LayerNorm,fp32,17,3359744
TinyStories-Instruct-3M,int8,prefill,256,Embedding,fp32,2,0
TinyStories-Instruct-3M,int4,prefill,256,Linear (lm_head),fp32,1,3293642752
TinyStories-Instruct-3M,int4,prefill,256,Linear,fp32,48,806879232
TinyStories-Instruct-3M,int4,prefill,256,GroupedQueryAttention,fp32,8,276824064
TinyStories-Instruct-3M,int4,prefill,256,Softmax,fp32,8,41943040
TinyStories-Instruct-3M,int4,prefill,256,GELU,fp32,8,9437184
TinyStories-Instruct-3M,int4,prefill,256,LayerNorm,fp32,17,3359744
TinyStories-Instruct-3M,int4,prefill,256,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,256,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,prefill,512,Linear (lm_head),fp32,1,6587285504
TinyStories-Instruct-3M,fp32,prefill,512,Linear,fp32,48,1613758464
TinyStories-Instruct-3M,fp32,prefill,512,GroupedQueryAttention,fp32,8,1107296256
TinyStories-Instruct-3M,fp32,prefill,512,Softmax,fp32,8,167772160
TinyStories-Instruct-3M,fp32,prefill,512,GELU,fp32,8,18874368
TinyStories-Instruct-3M,fp32,prefill,512,LayerNorm,fp32,17,6719488
TinyStories-Instruct-3M,fp32,prefill,512,Embedding,fp32,2,0
TinyStories-Instruct-3M,bf16,prefill,512,Linear (lm_head),bf16,1,6587285504
TinyStories-Instruct-3M,bf16,prefill,512,Linear,bf16,48,1613758464
TinyStories-Instruct-3M,bf16,prefill,512,GroupedQueryAttention,bf16,8,1107296256
TinyStories-Instruct-3M,bf16,prefill,512,Softmax,bf16,8,167772160
TinyStories-Instruct-3M,bf16,prefill,512,GELU,bf16,8,18874368
TinyStories-Instruct-3M,bf16,prefill,512,LayerNorm,bf16,17,6719488
TinyStories-Instruct-3M,bf16,prefill,512,Embedding,bf16,2,0
TinyStories-Instruct-3M,int8,prefill,512,Linear (lm_head),fp32,1,6587285504
TinyStories-Instruct-3M,int8,prefill,512,Linear,int8,48,1613758464
TinyStories-Instruct-3M,int8,prefill,512,GroupedQueryAttention,fp32,8,1107296256
TinyStories-Instruct-3M,int8,prefill,512,Softmax,fp32,8,167772160
TinyStories-Instruct-3M,int8,prefill,512,Quantize,fp32,48,18874368
TinyStories-Instruct-3M,int8,prefill,512,GELU,fp32,8,18874368
TinyStories-Instruct-3M,int8,prefill,512,Dequantize,fp32,48,9437184
TinyStories-Instruct-3M,int8,prefill,512,LayerNorm,fp32,17,6719488
TinyStories-Instruct-3M,int8,prefill,512,Embedding,fp32,2,0
TinyStories-Instruct-3M,int4,prefill,512,Linear (lm_head),fp32,1,6587285504
TinyStories-Instruct-3M,int4,prefill,512,Linear,fp32,48,1613758464
TinyStories-Instruct-3M,int4,prefill,512,GroupedQueryAttention,fp32,8,1107296256
TinyStories-Instruct-3M,int4,prefill,512,Softmax,fp32,8,167772160
TinyStories-Instruct-3M,int4,prefill,512,GELU,fp32,8,18874368
TinyStories-Instruct-3M,int4,prefill,512,LayerNorm,fp32,17,6719488
TinyStories-Instruct-3M,int4,prefill,512,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,512,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,prefill,1024,Linear (lm_head),fp32,1,13174571008
TinyStories-Instruct-3M,fp32,prefill,1024,GroupedQueryAttention,fp32,8,4429185024
TinyStories-Instruct-3M,fp32,prefill,1024,Linear,fp32,48,3227516928
TinyStories-Instruct-3M,fp32,prefill,1024,Softmax,fp32,8,671088640
TinyStories-Instruct-3M,fp32,prefill,1024,GELU,fp32,8,37748736
TinyStories-Instruct-3M,fp32,prefill,1024,LayerNorm,fp32,17,13438976
TinyStories-Instruct-3M,fp32,prefill,1024,Embedding,fp32,2,0
TinyStories-Instruct-3M,bf16,prefill,1024,Linear (lm_head),bf16,1,13174571008
TinyStories-Instruct-3M,bf16,prefill,1024,GroupedQueryAttention,bf16,8,4429185024
TinyStories-Instruct-3M,bf16,prefill,1024,Linear,bf16,48,3227516928
TinyStories-Instruct-3M,bf16,prefill,1024,Softmax,bf16,8,671088640
TinyStories-Instruct-3M,bf16,prefill,1024,GELU,bf16,8,37748736
TinyStories-Instruct-3M,bf16,prefill,1024,LayerNorm,bf16,17,13438976
TinyStories-Instruct-3M,bf16,prefill,1024,Embedding,bf16,2,0
TinyStories-Instruct-3M,int8,prefill,1024,Linear (lm_head),fp32,1,13174571008
TinyStories-Instruct-3M,int8,prefill,1024,GroupedQueryAttention,fp32,8,4429185024
TinyStories-Instruct-3M,int8,prefill,1024,Linear,int8,48,3227516928
TinyStories-Instruct-3M,int8,prefill,1024,Softmax,fp32,8,671088640
TinyStories-Instruct-3M,int8,prefill,1024,Quantize,fp32,48,37748736
TinyStories-Instruct-3M,int8,prefill,1024,GELU,fp32,8,37748736
TinyStories-Instruct-3M,int8,prefill,1024,Dequantize,fp32,48,18874368
TinyStories-Instruct-3M,int8,prefill,1024,LayerNorm,fp32,17,13438976
TinyStories-Instruct-3M,int8,prefill,1024,Embedding,fp32,2,0
TinyStories-Instruct-3M,int4,prefill,1024,Linear (lm_head),fp32,1,13174571008
TinyStories-Instruct-3M,int4,prefill,1024,GroupedQueryAttention,fp32,8,4429185024
TinyStories-Instruct-3M,int4,prefill,1024,Linear,fp32,48,3227516928
TinyStories-Instruct-3M,int4,prefill,1024,Softmax,fp32,8,671088640
TinyStories-Instruct-3M,int4,prefill,1024,GELU,fp32,8,37748736
TinyStories-Instruct-3M,int4,prefill,1024,LayerNorm,fp32,17,13438976
TinyStories-Instruct-3M,int4,prefill,1024,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,1024,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,prefill,2048,Linear (lm_head),fp32,1,26349142016
TinyStories-Instruct-3M,fp32,prefill,2048,GroupedQueryAttention,fp32,8,17716740096
TinyStories-Instruct-3M,fp32,prefill,2048,Linear,fp32,48,6455033856
TinyStories-Instruct-3M,fp32,prefill,2048,Softmax,fp32,8,2684354560
TinyStories-Instruct-3M,fp32,prefill,2048,GELU,fp32,8,75497472
TinyStories-Instruct-3M,fp32,prefill,2048,LayerNorm,fp32,17,26877952
TinyStories-Instruct-3M,fp32,prefill,2048,Embedding,fp32,2,0
TinyStories-Instruct-3M,bf16,prefill,2048,Linear (lm_head),bf16,1,26349142016
TinyStories-Instruct-3M,bf16,prefill,2048,GroupedQueryAttention,bf16,8,17716740096
TinyStories-Instruct-3M,bf16,prefill,2048,Linear,bf16,48,6455033856
TinyStories-Instruct-3M,bf16,prefill,2048,Softmax,bf16,8,2684354560
TinyStories-Instruct-3M,bf16,prefill,2048,GELU,bf16,8,75497472
TinyStories-Instruct-3M,bf16,prefill,2048,LayerNorm,bf16,17,26877952
TinyStories-Instruct-3M,bf16,prefill,2048,Embedding,bf16,2,0
TinyStories-Instruct-3M,int8,prefill,2048,Linear (lm_head),fp32,1,26349142016
TinyStories-Instruct-3M,int8,prefill,2048,GroupedQueryAttention,fp32,8,17716740096
TinyStories-Instruct-3M,int8,prefill,2048,Linear,int8,48,6455033856
TinyStories-Instruct-3M,int8,prefill,2048,Softmax,fp32,8,2684354560
TinyStories-Instruct-3M,int8,prefill,2048,Quantize,fp32,48,75497472
TinyStories-Instruct-3M,int8,prefill,2048,GELU,fp32,8,75497472
TinyStories-Instruct-3M,int8,prefill,2048,Dequantize,fp32,48,37748736
TinyStories-Instruct-3M,int8,prefill,2048,LayerNorm,fp32,17,26877952
TinyStories-Instruct-3M,int8,prefill,2048,Embedding,fp32,2,0
TinyStories-Instruct-3M,int4,prefill,2048,Linear (lm_head),fp32,1,26349142016
TinyStories-Instruct-3M,int4,prefill,2048,GroupedQueryAttention,fp32,8,17716740096
TinyStories-Instruct-3M,int4,prefill,2048,Linear,fp32,48,6455033856
TinyStories-Instruct-3M,int4,prefill,2048,Softmax,fp32,8,2684354560
TinyStories-Instruct-3M,int4,prefill,2048,GELU,fp32,8,75497472
TinyStories-Instruct-3M,int4,prefill,2048,LayerNorm,fp32,17,26877952
TinyStories-Instruct-3M,int4,prefill,2048,Dequantize,fp32,48,1572864
TinyStories-Instruct-3M,int4,prefill,2048,Embedding,fp32,2,0
TinyStories-Instruct-3M,fp32,decode,2,Linear (lm_head),fp32,1,12865792
TinyStories-Instruct-3M,fp32,decode,2,Linear,fp32,48,3151872
TinyStories-Instruct-3M,fp32,decode,2,GELU,fp32,8,36864
TinyStories-Instruct-3M,fp32,decode,2,LayerNorm,fp32,17,13124
TinyStories-Instruct-3M,fp32,decode,2,GroupedQueryAttention,fp32,8,8448
TinyStories-Instruct-3M,fp32,decode,2,Softmax,fp32,8,1280
